,,,,,,,,,,,,MaxLv_preAdjust,,,MaxLv120minConversion,
STATE,DATE,TIME,JDM CODE,PANEL-ID,SERIAL,LINE,POWER ON TIME(min),ETI(h),Integlated AgingTime(min),InternalTemp,Calc EnvTemp,u',v',Lv,u',v',Lv
OK,20201020,144959,NX,YDAS011DNS0101,20825,S3,3,0,3,230,227.777153166741,0.190651471953594,0.447748317708633,605.5,0.19217707043558,0.441572807440687,517.836348892817
OK,20201020,145128,NX,YDAS011DNS0101,20826,S3,3,0,3,230,227.777153166741,0.190966066568454,0.448850158555769,599.2,0.192491665050439,0.442674648287823,512.448456245378
OK,20201020,145239,NX,YDAS011DNS0101,20827,S3,3,0,3,230,227.777153166741,0.192021590621574,0.448671670743021,591.1,0.193547189103559,0.442496160475075,505.52116569867
OK,20201020,145416,NX,YDAS011DNS0101,20828,S3,4,0,4,230,226.136149278459,0.190919674039581,0.447183276813281,589,0.192516571244875,0.44080053026657,500.952222070247
OK,20201020,145523,NX,YDAS011DNS0101,20830,S3,3,0,3,230,227.777153166741,0.193807404295881,0.44639034517299,614,0.195333002777867,0.440214834905044,525.105727861585
OK,20201020,145628,NX,YDAS011DNS0101,20831,S3,3,0,3,235,232.777153166741,0.190786342343245,0.446704576767955,594.4,0.192034790449706,0.441509599840293,520.870963773868
OK,20201020,145750,NX,YDAS011DNS0101,20832,S3,3,0,3,230,227.777153166741,0.190308749989634,0.447749682791107,599.9,0.191834348471619,0.441574172523161,513.047110983982
OK,20201020,145857,NX,YDAS011DNS0101,20833,S3,3,0,3,235,232.777153166741,0.191490943330773,0.449438759075253,604.6,0.192739391437234,0.444243782147591,529.809193636744
OK,20201020,150003,NX,YDAS011DNS0101,20834,S3,3,0,3,230,227.777153166741,0.190674049778752,0.449260189267223,610.3,0.192199648260738,0.443084678999277,521.941409957533
OK,20201020,150110,NX,YDAS011DNS0101,20835,S3,3,0,3,230,227.777153166741,0.190601639938091,0.446858431850364,603.1,0.192127238420076,0.440682921582418,515.783818360459
OK,20201020,150223,NX,YDAS011DNS0101,20836,S3,3,0,3,235,232.777153166741,0.191993437243642,0.446677604593929,605,0.193241885350104,0.441482627666267,530.159712454896
OK,20201020,150334,NX,YDAS011DNS0101,20837,S3,3,0,3,230,227.777153166741,0.191398499187536,0.446814243837115,608,0.192924097669522,0.440638733569169,519.97440153069
OK,20201020,150443,NX,YDAS011DNS0101,20838,S3,3,0,3,235,232.777153166741,0.192479106323294,0.447792781203575,599.5,0.193727554429755,0.442597804275913,525.340078705306
OK,20201020,150553,NX,YDAS011DNS0101,20839,S3,3,0,3,230,227.777153166741,0.191369729747556,0.449280261183571,605.5,0.192895328229541,0.443104750915624,517.836348892817
OK,20201020,150708,NX,YDAS011DNS0101,20840,S3,3,0,3,230,227.777153166741,0.190240585859744,0.447651891838757,607.2,0.19176618434173,0.441476381570811,519.290224686571
OK,20201020,151012,NX,YDAS011DNS0101,20841,S3,5,0,5,240,234.595852422847,0.192818104396286,0.447830796325542,601.8,0.1939403791451,0.443208427984676,534.059477012364
OK,20201020,151133,NX,YDAS011DNS0101,20842,S3,5,0,5,240,234.595852422847,0.190575616491408,0.450162910327757,594.1,0.191697891240222,0.445540541986892,527.226213514532
OK,20201020,151247,NX,YDAS011DNS0101,20843,S3,5,0,5,235,229.595852422847,0.191736358367144,0.44765256272253,600.7,0.193139653837011,0.442019140425107,519.755984204251
OK,20201020,151353,NX,YDAS011DNS0101,20844,S3,3,0,3,230,227.777153166741,0.192894390564842,0.447755738583752,612.5,0.194419989046828,0.441580228315806,523.822896278862
OK,20201020,151458,NX,YDAS011DNS0101,20845,S3,3,0,3,230,227.777153166741,0.19198327983877,0.447637530790475,599.7,0.193508878320756,0.441462020522529,512.876066772952
OK,20201020,151603,NX,YDAS011DNS0101,20846,S3,3,0,3,230,227.777153166741,0.193141067730693,0.448280216172534,591.7,0.194666666212679,0.442104705904588,506.034298331759
OK,20201020,151712,NX,YDAS011DNS0101,20847,S3,3,0,3,230,227.777153166741,0.19335074327039,0.448523503415026,595.4,0.194876341752375,0.44234799314708,509.198616235811
OK,20201020,151822,NX,YDAS011DNS0101,20848,S3,3,0,3,230,227.777153166741,0.19053171641791,0.449535247867804,599.7,0.192057314899896,0.443359737599858,512.876066772952
OK,20201020,151927,NX,YDAS011DNS0101,20849,S3,3,0,3,230,227.777153166741,0.190911099653826,0.451646166310672,613.2,0.192436698135812,0.445470656042726,524.421551017466
OK,20201020,152043,NX,YDAS011DNS0101,20850,S3,3,0,3,230,227.777153166741,0.190263351702771,0.449958097366483,590.6,0.191788950184756,0.443782587098537,505.093555171095
OK,20201020,152158,NX,YDAS011DNS0101,20851,S3,3,0,3,235,232.777153166741,0.191213953720826,0.447173771802689,596.5,0.192462401827287,0.441978794875026,522.711187569166
OK,20201020,152325,NX,YDAS011DNS0101,20852,S3,3,0,3,235,232.777153166741,0.192287791055809,0.444400640630775,601.2,0.19353623916227,0.439205663703112,526.829783682452
OK,20201020,152433,NX,YDAS011DNS0101,20853,S3,3,0,3,230,227.777153166741,0.192699449290901,0.449217798138311,614.5,0.194225047772887,0.443042287870365,525.53333838916
OK,20201020,152541,NX,YDAS011DNS0101,20854,S3,3,0,3,230,227.777153166741,0.190781524383367,0.448687793011229,618.9,0.192307122865353,0.442512282743283,529.296311031816
OK,20201020,152703,NX,YDAS011DNS0101,20855,S3,3,0,3,230,227.777153166741,0.19161980037493,0.44968840249278,591.7,0.193145398856916,0.443512892224834,506.034298331759
OK,20201020,152808,NX,YDAS011DNS0101,20856,S3,3,0,3,230,227.777153166741,0.192198465807083,0.450293781622327,613.1,0.193724064289069,0.444118271354381,524.336028911951
OK,20201020,152958,NX,YDAS011DNS0101,20857,S3,3,0,3,230,227.777153166741,0.190810837815784,0.448733534280338,598.8,0.192336436297769,0.442558024012392,512.106367823318
OK,20201020,153202,NX,YDAS011DNS0101,20858,S3,3,0,3,230,227.777153166741,0.191755117358635,0.450539678395732,613.6,0.193280715840621,0.444364168127785,524.763639439526
OK,20201020,153256,NX,YDAS011DNS0101,20859,S3,3,0,3,230,227.777153166741,0.192053520437301,0.448641592559354,611,0.193579118919287,0.442466082291408,522.540064696138
OK,20201020,153425,NX,YDAS011DNS0101,20860,S3,3,0,3,230,227.777153166741,0.191037677425747,0.447447298669771,602.1,0.192563275907733,0.441271788401825,514.92859730531
OK,20201020,153520,NX,YDAS011DNS0101,20862,S3,3,0,3,230,227.777153166741,0.191243800076307,0.448612170927127,627.1,0.192769398558292,0.442436660659181,536.309123684039
OK,20201020,153623,NX,YDAS011DNS0101,20863,S3,3,0,3,225,222.777153166741,0.190884665631393,0.44938253346151,607.7,0.192662099122723,0.442307153059647,508.519163022247
OK,20201020,153736,NX,YDAS011DNS0101,20864,S3,3,0,3,230,227.777153166741,0.191213740267726,0.447356394426118,598.2,0.192739338749711,0.441180884158172,511.593235190229
OK,20201020,153904,NX,YDAS011DNS0101,20865,S3,3,0,3,230,227.777153166741,0.191423849116125,0.449731942848034,595.6,0.19294944759811,0.443556432580088,509.369660446841
OK,20201020,154026,NX,YDAS011DNS0101,20866,S3,3,0,3,230,227.777153166741,0.190327690738237,0.449958945351702,602.8,0.191853289220223,0.443783435083755,515.527252043915
OK,20201020,154145,NX,YDAS011DNS0101,20867,S3,3,0,3,230,227.777153166741,0.193057232255044,0.447387223139274,605.3,0.19458283073703,0.441211712871328,517.665304681788
OK,20201020,154317,NX,YDAS011DNS0101,20868,S3,3,0,3,230,227.777153166741,0.190060694868827,0.449366825133837,599.7,0.191586293350813,0.443191314865891,512.876066772952
OK,20201020,154441,NX,YDAS011DNS0101,20869,S3,4,0,4,235,231.136149278459,0.191278716370933,0.450760635153251,601.5,0.192609333325893,0.445332516263723,523.740471018277
OK,20201020,154626,NX,YDAS011DNS0101,20870,S3,4,0,4,235,231.136149278459,0.193120756781106,0.447118633160655,617.6,0.194451373736066,0.441690514271127,537.75912701727
OK,20201020,154744,NX,YDAS011DNS0101,20871,S3,4,0,4,230,226.136149278459,0.191653211831238,0.447424702232516,588.1,0.193250109036532,0.441041955685805,500.186760270819
OK,20201020,154912,NX,YDAS011DNS0101,20872,S3,4,0,4,235,231.136149278459,0.191711847950302,0.448287120971276,579.7,0.193042464905261,0.442859002081748,504.758688361256
OK,20201020,155021,NX,YDAS011DNS0101,20873,S3,3,0,3,235,232.777153166741,0.190777068378048,0.446888749214331,600.4,0.192025516484509,0.441693772286668,526.128746046148
OK,20201020,155156,NX,YDAS011DNS0101,20874,S3,4,0,4,230,226.136149278459,0.192621673308116,0.447274197760722,589.9,0.19421857051341,0.440891451214011,501.717683869675
OK,20201020,155316,NX,YDAS011DNS0101,20875,S3,3,0,3,230,227.777153166741,0.190520415270822,0.448746227072208,601.3,0.192046013752807,0.442570716804262,514.244420461191
OK,20201020,155436,NX,YDAS011DNS0101,20876,S3,4,0,4,230,226.136149278459,0.192645052303294,0.450701708790852,616.6,0.194241949508588,0.44431896224414,524.426383919379
OK,20201020,155555,NX,YDAS011DNS0101,20877,S3,3,0,3,230,227.777153166741,0.193587638660855,0.448023535883054,597.3,0.195113237142841,0.441848025615108,510.823536240594
OK,20201020,155714,NX,YDAS011DNS0101,20879,S3,4,0,4,230,226.136149278459,0.190810487090764,0.448338102209209,598.9,0.192407384296058,0.441955355662498,509.372301863958
OK,20201020,155833,NX,YDAS011DNS0101,20861,S3,3,0,3,230,227.777153166741,0.191534645675812,0.448319268577486,601.5,0.193060244157798,0.44214375830954,514.415464672221
OK,20201020,155955,NX,YDAS011DNS0101,20880,S3,4,0,4,230,226.136149278459,0.192463213303027,0.449910276348846,626.8,0.194060110508321,0.443527529802134,533.101617646232
OK,20201020,160111,NX,YDAS011DNS0101,20829,S3,3,0,3,230,227.777153166741,0.190865409278227,0.448145551546656,582.4,0.192391007760213,0.44197004127871,498.080742518872
OK,20201020,160250,NX,YDAS011DNS0101,20881,S3,4,0,4,235,231.136149278459,0.192543512658228,0.449540150316456,606.1,0.193874129613187,0.444112031426928,527.745801303704
OK,20201020,160546,NX,YDAS011DNS0101,20882,S3,5,0,5,240,234.595852422847,0.192627275125297,0.449658731205487,606.1,0.19374954987411,0.445036362864621,537.875455329335
OK,20201020,160757,NX,YDAS011DNS0101,20878,S3,6,0,6,240,233.1512388033,0.191222178706242,0.449598773404885,599.5,0.192418331969311,0.444673785484395,528.86889974257
OK,20201020,160953,NX,YDAS011DNS0101,20883,S3,7,0,7,240,231.797474225983,0.193001341437159,0.447667389828263,600.7,0.194163154626817,0.442564467222079,527.1206499942
OK,20201020,161241,NX,YDAS011DNS0101,20884,S3,6,0,6,240,233.1512388033,0.192320103259116,0.449623948171867,603.8,0.193516256522185,0.444698960251377,532.662288014285
OK,20201020,161413,NX,YDAS011DNS0101,20885,S3,6,0,6,240,233.1512388033,0.192176039119804,0.450733496332518,614.5,0.193372192382873,0.445808508412029,542.101649527622
OK,20201020,161608,NX,YDAS011DNS0101,20886,S3,6,0,6,240,233.1512388033,0.193009496345647,0.447770098940983,600.4,0.194205649608716,0.442845111020494,529.662864729673
OK,20201020,161722,NX,YDAS011DNS0101,20887,S3,4,0,4,235,231.136149278459,0.191507588859974,0.449658137617793,618.2,0.192838205814933,0.444230018728265,538.281561402326
OK,20201020,161834,NX,YDAS011DNS0101,20888,S3,4,0,4,230,226.136149278459,0.191334477457766,0.448510333721034,612.7,0.19293137466306,0.442127587174323,521.109382788524
OK,20201020,162040,NX,YDAS011DNS0101,20889,S3,4,0,4,230,226.136149278459,0.191512366536018,0.446867819975672,587.8,0.193109263741313,0.440485073428961,499.931606337676
OK,20201020,162229,NX,YDAS011DNS0101,20890,S3,5,0,5,235,229.595852422847,0.191068427760775,0.44941184111186,615.1,0.192471723230641,0.443778418814436,532.215591616505
OK,20201020,162419,NX,YDAS011DNS0101,20891,S3,5,0,5,235,229.595852422847,0.192650812299964,0.446882469715999,612.8,0.19405410776983,0.441249047418575,530.225515432603
OK,20201020,162616,NX,YDAS011DNS0101,20892,S3,5,0,5,235,229.595852422847,0.190547003058621,0.448273822599997,589.5,0.191950298528487,0.442640400302573,510.065178439164
OK,20201020,162728,NX,YDAS011DNS0101,20893,S3,4,0,4,235,231.136149278459,0.19016290467886,0.445867874470002,599.4,0.19149352163382,0.440439755580474,521.911950670583
OK,20201020,162852,NX,YDAS011DNS0101,20894,S3,4,0,4,235,231.136149278459,0.192675900005713,0.448652133815404,610.8,0.194006516960672,0.443224014925876,531.83820398664
OK,20201020,163005,NX,YDAS011DNS0101,20895,S3,3,0,3,230,227.777153166741,0.190918055578008,0.450225512859891,618.9,0.192443654059994,0.444050002591945,529.296311031816
OK,20201020,163138,NX,YDAS011DNS0101,20896,S3,4,0,4,235,231.136149278459,0.190881976991905,0.448733050953658,596.8,0.192212593946864,0.44330493206413,519.648068335341
OK,20201020,163243,NX,YDAS011DNS0101,20897,S3,3,0,3,230,227.777153166741,0.190262416147632,0.447366842867301,580.2,0.191788014629617,0.441191332599355,496.199256197544
OK,20201020,163349,NX,YDAS011DNS0101,20898,S3,3,0,3,230,227.777153166741,0.19226233374828,0.448363689969207,608.3,0.193787932230266,0.442188179701261,520.230967847235
OK,20201020,163455,NX,YDAS011DNS0101,20899,S3,3,0,3,230,227.777153166741,0.192816077834013,0.447692988059555,607.4,0.194341676315999,0.441517477791609,519.461268897601
OK,20201020,163606,NX,YDAS011DNS0101,20900,S3,3,0,3,230,227.777153166741,0.19110727601309,0.448454111785871,612.1,0.192632874495076,0.442278601517925,523.480807856802
OK,20201020,163735,NX,YDAS011DNS0101,20901,S3,3,0,3,230,227.777153166741,0.190081548763509,0.448642511436717,601.5,0.191607147245494,0.442467001168771,514.415464672221
OK,20201020,163844,NX,YDAS011DNS0101,20902,S3,3,0,3,230,227.777153166741,0.190811299889414,0.449306323514628,595.9,0.1923368983714,0.443130813246682,509.626226763385
OK,20201020,172558,NX,YDAS011DNS0101,20903,S3,49,0.5,49,290,264.988756126792,0.190829087540528,0.447043384282847,579.1,0.190829087608001,0.447043384497867,579.100000095341
OK,20201020,172704,NX,YDAS011DNS0101,20904,S3,49,0.5,49,280,254.988756126792,0.191725476821366,0.446100165280583,566.8,0.191725476888838,0.446100165495603,566.800000093316
OK,20201020,172809,NX,YDAS011DNS0101,20905,S3,49,0.5,49,270,245.210728070695,0.190778906216802,0.445697531126503,582.7,0.190957884119445,0.444260441642916,563.086636473384
OK,20201020,172925,NX,YDAS011DNS0101,20906,S3,3,0,3,225,222.777153166741,0.193076611268747,0.445950547223348,611.2,0.194854044760077,0.438875166821485,511.447938850086
OK,20201020,173028,NX,YDAS011DNS0101,20907,S3,3,0,3,225,222.777153166741,0.190824941511545,0.448809887091852,588.3,0.192602375002875,0.441734506689989,492.285377005081
OK,20201020,173130,NX,YDAS011DNS0101,20908,S3,3,0,3,225,222.777153166741,0.191197102678717,0.447371855525466,609.4,0.192974536170047,0.440296475123603,509.941711281483
OK,20201020,173305,NX,YDAS011DNS0101,20909,S3,3,0,3,225,222.777153166741,0.190484286406488,0.448328332072392,586,0.192261719897818,0.441252951670529,490.360752889644
OK,20201020,173621,NX,YDAS011DNS0101,20910,S3,3,0,3,230,227.777153166741,0.19157787597037,0.449952743693101,618.9,0.193103474452356,0.443777233425155,529.296311031816
OK,20201020,173715,NX,YDAS011DNS0101,20911,S3,3,0,3,225,222.777153166741,0.191718439970075,0.450614774094916,615.7,0.193495873461405,0.443539393693053,515.213507771594
OK,20201020,173815,NX,YDAS011DNS0101,20912,S3,3,0,3,230,227.777153166741,0.191505486177469,0.449347589706415,606.1,0.193031084659454,0.443172079438469,518.349481525907
OK,20201020,173921,NX,YDAS011DNS0101,20913,S3,3,0,3,230,227.777153166741,0.191424196018377,0.448937595712098,625.4,0.192949794500362,0.442762085444152,534.855247890286
OK,20201020,174045,NX,YDAS011DNS0101,20914,S3,3,0,3,225,222.777153166741,0.190404317974883,0.448342616213733,607.3,0.192181751466213,0.44126723581187,508.184445784779
OK,20201020,174224,NX,YDAS011DNS0101,20915,S3,4,0,4,230,226.136149278459,0.19125596317245,0.450327086797056,598.9,0.192852860377744,0.443944340250344,509.372301863958
OK,20201020,174351,NX,YDAS011DNS0101,20916,S3,4,0,4,230,226.136149278459,0.191198414834022,0.448616649135253,611.3,0.192795312039317,0.442233902588541,519.918664433857
OK,20201020,174458,NX,YDAS011DNS0101,20917,S3,3,0,3,230,227.777153166741,0.190538599188447,0.45056329863649,595.9,0.192064197670432,0.444387788368544,509.626226763385
OK,20201020,174603,NX,YDAS011DNS0101,20918,S3,3,0,3,225,222.777153166741,0.191629633247058,0.449406651364946,613.5,0.193407066738388,0.442331270963083,513.372562965523
OK,20201020,174712,NX,YDAS011DNS0101,20919,S3,3,0,3,225,222.777153166741,0.191638375157285,0.449561976211391,631.2,0.193415808648615,0.442486595809528,528.183800723453
OK,20201020,174830,NX,YDAS011DNS0101,20920,S3,3,0,3,230,227.777153166741,0.194073371944509,0.447292531870286,618.7,0.195598970426495,0.44111702160234,529.125266820786
OK,20201020,174942,NX,YDAS011DNS0101,20921,S3,3,0,3,230,227.777153166741,0.19020795034827,0.449294183124484,592,0.191733548830256,0.443118672856538,506.290864648304
OK,20201020,175116,NX,YDAS011DNS0101,20922,S3,3,0,3,230,227.777153166741,0.192989677143186,0.449933321259817,607.3,0.194515275625172,0.443757810991871,519.375746792086
OK,20201020,175245,NX,YDAS011DNS0101,20923,S3,4,0,4,230,226.136149278459,0.191001987178954,0.448088067780263,598.8,0.192598884384248,0.441705321233551,509.28725055291
OK,20201020,175423,NX,YDAS011DNS0101,20924,S3,4,0,4,230,226.136149278459,0.193407591897001,0.450281106252484,616.7,0.195004489102295,0.443898359705773,524.511435230427
OK,20201020,175556,NX,YDAS011DNS0101,20925,S3,4,0,4,230,226.136149278459,0.192673895794763,0.448467667283787,602.9,0.194270793000057,0.442084920737076,512.774354305861
OK,20201020,175750,NX,YDAS011DNS0101,20926,S3,5,0,5,230,224.595852422847,0.191593909309314,0.449920894685295,597.2,0.193253329925231,0.443357148584821,505.132728946112
OK,20201020,175942,NX,YDAS011DNS0101,20927,S3,5,0,5,230,224.595852422847,0.19197628092282,0.447941847830665,590.9,0.193635701538737,0.441378101730191,499.803967739882
OK,20201020,180059,NX,YDAS011DNS0101,20928,S3,5,0,5,230,224.595852422847,0.190638047536952,0.449378620627671,611.1,0.192297468152869,0.442814874527197,516.889837004302
OK,20201020,180249,NX,YDAS011DNS0101,20929,S3,4,0,4,235,231.136149278459,0.191077235061711,0.450456277752526,572.6,0.19240785201667,0.445028158862998,498.576548138097
OK,20201020,180414,NX,YDAS011DNS0101,20930,S3,4,0,4,230,226.136149278459,0.192310519738293,0.448945085642873,610.7,0.193907416943587,0.442562339096161,519.408356567572
OK,20201020,180552,NX,YDAS011DNS0101,20931,S3,4,0,4,230,226.136149278459,0.192572033863511,0.44851087590222,606.9,0.194168931068805,0.442128129355508,516.176406747764
OK,20201020,180724,NX,YDAS011DNS0101,20932,S3,4,0,4,230,226.136149278459,0.191172364780832,0.448793116576563,589.4,0.192769261986126,0.442410370029851,501.292427314437
